TV_Budget,Online_Video_Budget,Radio_Budget,Region,Sales
,128.18,33.76,North,497.97
234.82,212.06,98.74,South,881.69
288.08,258.44,41.49,East,951.91
269.45,243.68,34.17,North,895.92
139.89,117.42,75.64,East,562.08
225.7,191.09,43.56,East,770.8
145.65,134.93,46.77,North,530.25
97.2,82.54,84.52,North,448.77
281.74,249.58,38.47,South,945.23
,82.07,62.32,East,396.71
143.6,135.57,84.39,South,602.65
138.03,125.4,93.64,East,591.4
121.14,106.63,86.12,North,507.07
178.79,156.86,21.8,South,606.79
130.38,107.51,23.68,North,446.16
226.65,211.99,75.35,West,807.1
90.56,84.02,26.85,East,340.19
173.66,155.6,53.98,East,648.34
224.0,203.66,93.68,North,824.02
86.76,76.74,44.08,West,350.99
118.14,103.4,61.61,West,452.33
173.43,150.42,94.35,South,700.97
103.05,89.3,38.38,North,397.3
276.78,248.34,95.5,West,1006.8
297.66,260.19,39.25,North,966.08
68.7,61.92,64.64,West,311.79
215.74,194.92,68.36,East,786.53
70.57,54.48,87.61,North,343.83
196.47,177.78,72.91,South,735.39
50.45,51.1,23.31,East,228.43
222.2,198.36,37.33,West,722.18
94.42,93.9,86.39,West,423.03
178.73,154.44,82.66,West,676.26
121.05,116.29,91.59,West,513.1
135.26,112.92,85.26,South,563.62
236.96,226.06,40.51,West,784.03
123.82,108.3,56.23,West,480.06
182.19,158.36,56.77,South,655.41
110.19,93.87,12.12,West,343.21
196.85,173.72,53.48,West,674.47
82.09,73.63,72.09,North,398.42
173.71,154.29,62.8,North,630.89
208.97,183.95,44.06,East,729.04
79.43,64.73,42.82,North,321.58
192.96,172.02,25.04,West,623.07
145.17,137.01,94.63,North,602.75
246.37,216.91,54.04,East,858.36
135.95,128.18,59.0,North,517.12
265.62,243.79,40.6,South,882.13
161.92,148.21,38.96,South,579.55
239.31,208.42,18.83,South,775.71
68.8,66.03,48.57,North,335.47
254.34,230.65,67.65,East,892.38
134.54,123.95,89.13,West,566.55
138.13,116.56,78.56,East,574.04
89.54,87.83,37.24,South,346.81
246.06,221.62,82.59,East,878.89
219.75,201.5,70.31,South,800.41
149.87,130.43,64.39,North,574.7
181.44,158.95,88.94,West,702.61
158.63,138.22,50.32,West,565.23
284.17,251.76,33.16,West,935.51
240.53,215.58,30.28,South,791.29
101.61,87.09,97.29,East,480.8
228.41,208.33,65.73,East,835.31
207.09,185.01,63.57,South,756.78
146.52,133.74,90.76,West,601.22
70.98,72.09,23.82,West,270.15
187.55,165.3,93.57,East,746.47
71.62,67.54,44.01,West,282.05
220.59,200.52,68.24,East,792.84
197.85,178.07,41.6,North,664.47
139.06,117.74,17.61,South,482.96
273.85,243.8,38.14,West,913.28
149.68,139.91,94.45,East,637.36
195.01,178.8,60.57,North,694.38
202.92,187.1,44.75,South,692.4
215.8,193.49,54.65,South,758.0
220.07,200.7,10.71,North,684.33
235.03,211.86,39.63,East,808.36
224.73,212.08,95.46,South,858.95
87.4,85.76,23.36,North,321.36
121.9,106.22,45.94,South,485.39
114.27,112.77,99.5,South,518.12
,106.74,68.92,East,474.92
234.33,214.77,46.79,East,814.65
224.37,203.01,44.18,South,773.51
173.28,153.39,51.57,East,645.57
,139.33,92.51,North,629.89
186.45,172.62,59.74,North,654.32
282.87,255.67,86.96,West,1019.56
71.22,66.41,49.06,North,312.61
269.92,236.78,54.07,South,921.28
299.95,271.32,10.99,East,969.05
78.82,74.64,39.29,East,329.01
199.57,180.02,89.5,East,770.77
291.78,271.63,31.2,West,919.78
260.37,236.53,41.13,North,866.56
,218.44,25.73,North,772.11
292.4,260.14,72.66,East,1019.35
272.01,258.33,80.21,North,967.24
275.11,238.14,69.24,West,935.03
238.18,211.83,89.17,West,875.15
147.33,123.1,94.67,North,601.61
285.72,269.36,73.83,South,1007.24
272.96,238.64,67.89,South,966.89
77.11,66.73,36.78,North,308.86
182.89,161.1,80.31,South,701.25
154.29,138.76,40.22,West,552.73
283.46,257.88,42.18,South,941.63
196.81,182.11,45.51,South,674.84
286.7,249.81,82.7,South,1026.33
136.28,124.75,85.9,East,563.76
179.02,153.91,72.39,East,670.76
213.02,196.24,51.4,West,739.71
236.11,214.35,69.8,South,828.18
125.44,108.89,11.37,West,410.47
191.89,170.43,86.27,North,729.22
230.06,211.38,35.28,West,753.21
279.38,250.75,99.07,South,1008.44
175.71,166.79,79.49,West,659.36
202.07,184.84,29.65,West,660.86
283.47,254.6,10.29,West,884.88
260.88,225.4,73.32,South,937.34
,198.7,54.28,East,782.34
218.88,187.38,71.32,South,789.38
195.71,173.94,13.26,East,631.14
207.02,186.36,53.91,South,734.81
229.35,212.02,62.66,West,788.26
162.61,144.78,72.79,North,625.34
225.21,205.44,78.35,West,823.56
143.46,135.25,96.38,West,600.3
234.98,200.47,83.81,West,841.52
270.16,239.02,90.59,East,1007.56
281.64,244.04,88.09,North,1004.24
247.51,222.18,60.39,East,874.41
245.63,220.23,87.4,South,896.26
75.25,68.63,39.17,South,324.06
220.48,197.32,74.29,East,811.61
179.85,159.35,85.13,North,677.17
124.43,113.73,23.17,South,435.01
245.78,220.14,38.83,South,828.29
200.35,175.38,68.79,South,737.09
178.94,160.65,79.14,West,671.21
295.34,274.71,20.66,North,928.6
168.25,162.58,69.64,East,654.24
126.23,118.3,89.34,East,547.35
249.0,214.11,87.18,South,927.62
,95.15,50.64,North,428.36
98.74,85.07,29.46,North,359.16
168.51,154.83,96.53,South,675.42
212.08,182.96,50.39,East,737.58
173.93,166.96,36.14,East,597.49
69.09,64.66,19.86,West,240.7
163.69,150.39,99.74,North,689.77
256.68,229.41,91.93,North,941.98
298.0,268.23,60.44,North,1015.14
247.45,221.07,29.95,West,805.54
256.91,227.24,96.34,South,944.95
,146.39,61.46,West,585.65
236.26,212.12,60.5,West,826.54
149.97,140.37,54.18,West,562.67
257.27,227.98,81.54,South,925.23
292.51,271.56,27.43,South,954.72
262.32,234.38,53.24,South,902.86
158.55,139.46,51.3,West,573.36
187.84,171.62,99.02,North,709.34
86.15,73.89,83.83,West,397.02
298.48,268.86,91.19,East,1064.56
57.09,53.37,66.24,South,272.48
241.51,221.26,78.61,East,882.96
227.68,200.36,80.71,North,835.79
165.89,154.88,77.19,East,656.3
51.83,56.24,51.41,West,218.36
79.46,75.88,18.02,East,299.73
180.43,159.89,92.29,North,694.83
203.88,184.18,2026.92,South,689.94
254.16,239.23,34.78,East,845.91
86.33,83.68,70.02,North,374.06
202.62,172.73,75.55,East,742.65
141.35,114.23,32.26,North,487.78
202.41,182.86,41.41,West,686.69
247.63,219.76,23.88,West,783.28
109.69,101.56,98.31,South,514.51
179.3,173.69,45.26,East,642.12
214.89,191.26,71.58,South,765.69
235.17,207.52,46.87,South,813.48
73.38,69.07,78.06,East,368.65
243.55,218.61,27.08,East,812.86
178.83,161.17,32.56,East,615.22
214.9,186.71,38.3,North,707.85
194.27,179.24,17.32,West,612.59
90.79,82.05,71.49,West,389.29
275.94,249.16,99.83,North,1005.79
144.98,139.08,35.36,South,505.65
,206.59,95.25,East,889.92
110.46,94.22,10.16,East,387.95
122.14,107.47,18.79,North,394.1
241.38,213.95,60.52,East,840.93
61.55,55.67,66.07,South,320.92
69.91,54.39,77.77,East,359.62
265.84,243.37,15.69,East,851.81
186.52,173.5,83.95,West,683.61
195.96,183.26,32.43,East,673.16
222.13,210.2,30.46,East,760.44
248.32,220.13,54.04,East,864.74
191.76,171.9,11.13,East,620.52
112.63,106.09,35.29,North,412.76
155.25,128.97,55.21,South,571.54
204.46,180.98,89.02,South,782.9
288.36,264.12,41.13,West,946.41
114.63,107.18,29.21,North,413.24
266.19,233.77,25.43,South,862.96
,75.56,98.54,South,461.54
190.7,165.39,40.78,South,649.71
160.54,145.66,35.33,North,555.95
244.21,212.36,86.59,West,892.54
123.23,108.98,42.64,North,451.72
132.03,115.22,71.92,South,543.32
105.76,92.94,32.46,North,377.03
272.1,254.22,42.02,West,887.68
213.95,188.38,89.13,South,800.89
208.18,191.02,69.71,East,755.89
199.61,181.9,16.16,South,663.62
54.11,53.88,46.38,South,253.18
103.33,93.31,72.84,East,449.81
,176.26,14.55,North,628.08
288.69,264.96,91.31,North,1010.98
226.44,201.75,28.26,South,755.01
290.17,261.49,11.29,South,905.18
152.89,135.64,47.52,North,549.39
,57.37,37.5,North,289.66
127.7,111.66,3020.5,West,468.49
278.61,256.91,50.72,East,934.35
226.72,196.86,57.45,West,779.34
57.55,45.72,47.18,East,287.7
198.72,174.35,12.57,North,630.19
197.54,185.74,62.9,North,718.71
217.15,201.41,54.55,West,750.1
143.04,132.92,41.63,East,531.9
197.24,171.15,19.36,South,659.0
296.94,272.17,30.19,North,946.39
260.09,233.4,51.83,East,895.01
286.15,262.23,38.35,West,934.07
50.35,41.41,76.57,South,292.53
244.1,227.35,75.53,North,879.94
,159.0,85.07,North,646.94
188.57,167.54,37.54,East,636.11
273.51,244.12,28.66,West,872.33
71.34,62.97,93.09,South,373.91
179.48,159.1,93.78,West,675.12
124.58,107.79,10.83,West,421.87
253.56,230.13,58.4,West,860.41
176.36,154.25,99.95,South,696.72
288.76,265.79,68.92,East,1003.1
287.43,258.56,49.27,South,986.31
209.98,194.09,18.68,South,687.25
177.28,165.4,75.92,East,683.18
70.37,67.28,26.1,West,283.19
108.92,89.15,63.28,South,461.73
119.9,101.88,72.84,East,511.6
122.65,117.26,55.64,West,469.96
285.54,250.25,66.42,West,984.01
279.78,246.52,35.91,East,947.86
,65.35,16.04,East,283.55
104.5,93.84,70.49,North,436.1
69.59,53.78,11.15,West,241.7
208.33,184.2,28.89,South,698.61
171.67,154.58,61.85,East,656.29
173.59,158.18,49.33,South,622.64
54.81,40.83,73.1,South,323.68
,72.25,23.44,East,302.71
130.33,116.8,28.37,East,459.43
100.25,93.47,90.06,North,459.15
94.51,78.2,30.15,East,360.73
260.6,235.28,60.07,North,916.53
68.65,57.23,89.23,East,376.63
,264.35,75.4,East,1022.48
202.23,182.89,93.99,South,768.62
277.09,249.2,17.92,East,893.33
191.83,158.84,62.2,North,700.13
182.77,160.96,54.03,North,649.52
190.84,169.97,21.61,North,630.76
269.02,243.89,24.32,East,860.91
224.65,204.99,82.93,North,829.82
163.55,148.72,75.6,West,598.07
238.8,215.75,97.54,East,892.28
239.56,223.86,50.81,East,821.97
214.78,196.1,41.43,North,727.32
68.47,62.96,29.02,South,285.4
52.3,48.68,92.97,West,311.36
177.97,156.52,65.91,South,672.48
165.47,147.52,73.34,North,612.98
131.64,121.73,85.03,East,558.41
105.64,93.43,49.06,North,433.31
243.6,216.72,47.71,East,855.01
65.98,58.06,66.05,South,339.4
209.76,184.12,25.75,North,681.27
229.07,202.81,77.79,East,823.13
244.21,221.53,79.37,North,877.14
128.42,112.11,31.03,East,470.94
259.97,237.96,15.95,West,828.99
100.77,92.79,95.07,East,481.95
189.3,174.61,75.2,North,689.12
290.6,264.59,40.72,South,955.59
267.8,246.72,30.63,East,891.47
136.01,113.33,22.89,South,464.08
204.09,185.15,77.99,West,738.13
205.98,191.74,15.71,East,672.77
53.82,43.08,62.84,South,287.56
174.99,156.05,72.9,West,639.4
147.88,135.28,65.79,East,564.35
226.97,201.29,35.37,East,765.04
104.94,97.64,86.64,South,472.01
254.91,232.72,93.19,East,944.84
270.44,247.3,55.49,North,915.5
248.37,226.66,81.19,West,880.81
,94.75,53.86,West,413.65
186.96,166.86,83.37,West,693.41
66.64,56.93,52.2,South,297.96
108.71,95.91,77.12,East,461.75
115.67,107.34,59.95,North,468.53
197.95,183.03,38.7,East,704.67
182.88,159.14,63.81,North,640.79
101.77,91.39,37.58,North,383.58
83.39,76.97,19.32,South,332.72
285.44,263.87,79.18,South,1007.32
148.57,132.99,81.39,East,601.42
89.87,89.06,22.73,North,336.42
157.44,144.23,69.34,South,622.69
284.08,261.21,69.88,North,990.52
232.81,199.23,93.2,North,844.7
119.7,108.71,48.5,North,453.35
166.34,149.08,55.69,North,601.66
53.21,42.68,15.32,West,205.38
81.72,75.31,79.45,East,416.84
159.96,141.38,81.61,North,614.03
199.28,174.85,79.86,North,751.21
166.45,151.71,64.36,East,623.73
128.8,109.25,23.55,North,444.19
201.32,187.32,82.81,East,765.84
174.26,155.85,68.11,East,660.95
191.61,162.91,42.09,South,671.76
156.83,137.73,25.85,East,543.12
176.76,167.27,30.43,North,599.49
142.2,123.46,30.97,West,477.84
194.57,175.71,37.92,East,670.38
260.47,231.61,99.6,East,976.35
214.6,193.66,25.85,East,707.03
299.8,266.23,97.39,North,1069.77
164.66,156.45,23.16,East,572.82
236.91,219.67,59.7,West,845.4
145.82,133.15,26.58,North,484.92
212.08,191.91,63.1,West,737.04
90.37,76.83,43.39,South,361.12
72.19,66.7,82.65,South,367.57
129.67,119.89,28.46,North,464.08
276.31,249.89,28.97,North,896.34
262.54,225.6,52.49,West,874.13
218.66,193.73,16.96,West,696.66
,252.11,26.7,East,902.5
235.62,214.4,87.9,West,856.67
84.03,61.43,94.48,West,413.78
88.54,81.59,66.73,South,391.37
209.76,191.38,15.52,South,658.15
245.34,219.01,11.51,East,798.69
281.03,247.55,16.56,East,903.91
166.92,150.92,13.88,East,544.53
180.14,157.95,81.99,North,681.63
294.15,256.2,41.33,North,955.26
185.03,163.08,28.77,North,619.25
251.43,228.79,42.75,South,847.3
164.75,149.04,93.72,East,672.47
242.43,227.5,30.52,West,780.07
122.61,112.19,69.3,North,487.88
244.42,220.59,31.9,South,813.58
269.86,244.22,71.15,South,933.57
199.64,193.29,77.81,West,711.6
108.88,92.49,28.33,West,367.84
86.42,77.03,20.6,East,332.55
115.84,104.33,83.2,North,493.97
145.24,121.02,80.42,West,577.48
255.68,227.22,17.91,South,814.67
95.75,87.12,87.89,North,444.75
142.39,122.89,68.71,West,548.56
162.97,149.35,76.31,East,644.26
109.65,106.23,88.9,East,502.01
279.32,257.77,17.5,North,897.18
176.77,160.05,28.65,South,608.68
185.37,162.82,63.13,East,698.49
299.63,269.56,98.73,North,1076.54
198.21,174.25,49.89,South,706.07
211.09,195.53,50.02,West,729.25
,212.64,52.4,South,808.11
135.62,122.92,41.66,South,480.99
209.34,193.17,78.48,East,775.53
,77.12,43.29,South,329.0
294.03,266.33,57.13,West,993.85
189.96,173.24,44.62,West,644.51
143.7,134.74,61.73,South,549.59
98.64,93.04,67.47,South,415.55
184.2,172.37,58.04,South,683.64
231.09,211.49,13.0,West,717.36
,112.81,15.96,West,406.94
264.66,231.09,12.38,West,831.07
256.77,232.99,55.73,North,875.81
154.14,143.26,85.69,South,637.27
74.38,63.98,74.69,North,367.38
232.57,208.93,46.98,South,790.28
234.25,214.37,49.43,West,783.83
230.95,206.74,72.32,East,841.69
267.39,229.68,87.4,North,959.6
219.71,194.86,27.15,West,715.4
276.63,243.02,14.88,West,864.92
,196.13,21.07,North,703.46
58.47,51.78,17.44,North,233.1
261.81,230.6,44.8,North,849.84
229.46,207.98,22.13,South,759.46
232.87,206.11,85.39,North,858.76
145.84,142.86,26.28,West,508.93
104.88,95.08,60.27,East,424.96
162.84,147.39,52.34,South,561.43
223.69,198.9,18.08,South,732.84
72.22,60.59,30.01,South,285.16
58.18,48.64,40.88,East,282.48
234.65,219.2,65.79,North,812.24
171.23,149.35,53.75,North,617.47
,117.09,11.04,East,451.11
121.06,111.05,74.74,West,493.53
226.92,201.22,96.24,North,847.73
213.02,186.44,79.14,North,782.01
178.55,154.81,83.1,West,677.64
223.8,193.9,22.99,South,726.33
152.51,135.78,24.61,North,502.67
103.03,92.82,77.01,North,440.38
60.04,46.01,67.11,North,304.27
112.88,93.95,52.96,North,455.14
90.19,74.43,92.94,South,436.61
85.17,77.58,91.66,North,423.32
242.56,216.53,71.49,South,859.17
181.37,166.51,74.52,South,688.58
